date,action,change_bp,target_lower,target_upper,note
2008-12-16,cut,-75,0.00,0.25,ZIRP begins; QE1 underway
2015-12-16,hike,25,0.25,0.50,First hike since 2006
2016-12-14,hike,25,0.50,0.75,
2017-03-15,hike,25,0.75,1.00,
2017-06-14,hike,25,1.00,1.25,
2017-12-13,hike,25,1.25,1.50,QT1 began Oct 2017
2018-03-21,hike,25,1.50,1.75,
2018-06-13,hike,25,1.75,2.00,
2018-09-26,hike,25,2.00,2.25,
2018-12-19,hike,25,2.25,2.50,Cycle peak
2019-07-31,cut,-25,2.00,2.25,Mid-cycle adjustment; QT1 ended Aug 2019
2019-09-18,cut,-25,1.75,2.00,
2019-10-30,cut,-25,1.50,1.75,Bill purchases (reserve management) from Oct 2019
2020-03-03,cut,-50,1.00,1.25,Emergency (COVID)
2020-03-15,cut,-100,0.00,0.25,Emergency; QE4 (unlimited) begins
2022-03-16,hike,25,0.25,0.50,Liftoff; QT2 from Jun 2022
2022-05-04,hike,50,0.75,1.00,
2022-06-15,hike,75,1.50,1.75,
2022-07-27,hike,75,2.25,2.50,
2022-09-21,hike,75,3.00,3.25,
2022-11-02,hike,75,3.75,4.00,
2022-12-14,hike,50,4.25,4.50,
2023-02-01,hike,25,4.50,4.75,
2023-03-22,hike,25,4.75,5.00,
2023-05-03,hike,25,5.00,5.25,
2023-07-26,hike,25,5.25,5.50,Cycle peak; held 14 months
2024-09-18,cut,-50,4.75,5.00,First cut of the cycle
2024-11-07,cut,-25,4.50,4.75,
2024-12-18,cut,-25,4.25,4.50,
2025-09-17,cut,-25,4.00,4.25,
2025-10-29,cut,-25,3.75,4.00,QT2 end announced (effective Dec 1 2025)
2025-12-10,cut,-25,3.50,3.75,Reserve-management bill purchases resume
2026-09-16,hike,25,3.75,4.00,First hike since Jul 2023; 12-0 vote; dots point to another hike in 2026
