date,decision
2013-01-30,hold
2013-03-20,hold
2013-05-01,hold
2013-06-19,hold
2013-07-31,hold
2013-09-18,hold
2013-10-30,hold
2013-12-18,hold
2014-01-29,hold
2014-03-19,hold
2014-04-30,hold
2014-06-18,hold
2014-07-30,hold
2014-09-17,hold
2014-10-29,hold
2014-12-17,hold
2015-01-28,hold
2015-03-18,hold
2015-04-29,hold
2015-06-17,hold
2015-07-29,hold
2015-09-17,hold
2015-10-28,hold
2015-12-16,hike
2016-01-27,hold
2016-03-16,hold
2016-04-27,hold
2016-06-15,hold
2016-07-27,hold
2016-09-21,hold
2016-11-02,hold
2016-12-14,hike
2017-02-01,hold
2017-03-15,hike
2017-05-03,hold
2017-06-14,hike
2017-07-26,hold
2017-09-20,hold
2017-11-01,hold
2017-12-13,hike
2018-01-31,hold
2018-03-21,hike
2018-05-02,hold
2018-06-13,hike
2018-08-01,hold
2018-09-26,hike
2018-11-08,hold
2018-12-19,hike
2019-01-30,hold
2019-03-20,hold
2019-05-01,hold
2019-06-19,hold
2019-07-31,cut
2019-09-18,cut
2019-10-30,cut
2019-12-11,hold
2020-01-29,hold
2020-03-03,cut
2020-03-15,cut
2020-04-29,hold
2020-06-10,hold
2020-07-29,hold
2020-09-16,hold
2020-11-05,hold
2020-12-16,hold
2021-01-27,hold
2021-03-17,hold
2021-04-28,hold
2021-06-16,hold
2021-07-28,hold
2021-09-22,hold
2021-11-03,hold
2021-12-15,hold
2022-01-26,hold
2022-03-16,hike
2022-05-04,hike
2022-06-15,hike
2022-07-27,hike
2022-09-21,hike
2022-11-02,hike
2022-12-14,hike
2023-02-01,hike
2023-03-22,hike
2023-05-03,hike
2023-06-14,hold
2023-07-26,hike
2023-09-20,hold
2023-11-01,hold
2023-12-13,hold
2024-01-31,hold
2024-03-20,hold
2024-05-01,hold
2024-06-12,hold
2024-07-31,hold
2024-09-18,cut
2024-11-07,cut
2024-12-18,cut
2025-01-29,hold
2025-03-19,hold
2025-05-07,hold
2025-06-18,hold
2025-07-30,hold
2025-09-17,cut
2025-10-29,cut
2025-12-10,cut
2026-01-28,hold
2026-03-18,hold
2026-04-29,hold
2026-06-17,hold
2026-07-29,hold
2026-09-16,hike
