date,AdrActCnt,CapMrktCurUSD,HashRate,PriceUSD,SplyCur,volume_reported_spot_usd_1d
2010-07-18,860,295959,0.00155223,0.08584,3.4478e+06,5.09199
2010-07-19,929,279285,0.00157027,0.0808,3.4565e+06,49.6613
2010-07-20,936,259000,0.00163345,0.0747357,3.46555e+06,20.5895
2010-07-21,784,275266,0.00186809,0.0791929,3.4759e+06,42.2622
2010-07-22,594,203750,0.00158832,0.0584698,3.4847e+06,129.784
2010-07-23,655,211736,0.00175077,0.0605929,3.4944e+06,141.065
2010-07-24,959,191100,0.00170564,0.05454,3.50385e+06,26.7277
2010-07-25,2130,177670,0.00208467,0.0505406,3.5154e+06,85.063
2010-07-26,1250,197543,0.00219297,0.056,3.52755e+06,46.907
2010-07-27,775,207279,0.0019903,0.058622,3.53585e+06,196.918
2010-07-28,664,208769,0.00193024,0.0589111,3.5438e+06,255.759
2010-07-29,534,248341,0.00218518,0.0699,3.5528e+06,528.318
2010-07-30,582,230303,0.00220946,0.0646574,3.5619e+06,198.53
2010-07-31,479,241277,0.0024644,0.0675458,3.57205e+06,243.898
2010-08-01,622,218982,0.00290144,0.0611,3.584e+06,162.645
2010-08-02,632,215766,0.00293786,0.06,3.5961e+06,221.201
2010-08-03,988,216491,0.00275576,0.0600122,3.60745e+06,606.046
2010-08-04,715,206374,0.00295,0.0570158,3.6196e+06,210.765
2010-08-05,825,221460,0.00283431,0.061,3.6305e+06,303.609
2010-08-06,640,224351,0.00257339,0.0616713,3.63785e+06,85.908
2010-08-07,500,215105,0.00271343,0.0590039,3.6456e+06,157.341
2010-08-08,581,222623,0.0034837,0.0609,3.65555e+06,132.595
2010-08-09,782,258020,0.00332615,0.0704,3.66505e+06,886.933
2010-08-10,590,254792,0.00334365,0.0693387,3.6746e+06,88.8736
2010-08-11,724,246979,0.0040789,0.067,3.68625e+06,1015.64
2010-08-12,611,258797,0.00379881,0.07,3.6971e+06,134.487
2010-08-13,787,239156,0.0037638,0.0645,3.70785e+06,233.8
2010-08-14,564,249354,0.00491919,0.0669964,3.7219e+06,295.308
2010-08-15,472,243036,0.0040522,0.0651179,3.73225e+06,294.949
2010-08-16,760,244944,0.00373974,0.0655,3.7396e+06,696.803
2010-08-17,486,262224,0.00328181,0.07,3.74605e+06,915
2010-08-18,709,255184,0.00338357,0.068,3.7527e+06,203.828
2010-08-19,471,250755,0.00343445,0.0667,3.75945e+06,50.0425
2010-08-20,656,246876,0.00491,0.0655,3.7691e+06,276.411
2010-08-21,526,250843,0.00440119,0.0664,3.77775e+06,688.515
2010-08-22,586,249762,0.00539336,0.065929,3.78835e+06,1183.64
2010-08-23,655,246593,0.00541881,0.06491,3.799e+06,281.877
2010-08-24,638,247634,0.00546969,0.065,3.80975e+06,444.656
2010-08-25,498,247572,0.00549513,0.0648,3.82055e+06,278.861
2010-08-26,650,245475,0.00542016,0.0640751,3.83105e+06,251.563
2010-08-27,490,249574,0.00529907,0.065,3.8396e+06,583.709
2010-08-28,531,248587,0.00526808,0.0646,3.8481e+06,399.453
2010-08-29,418,246797,0.00502017,0.064,3.8562e+06,204.875
2010-08-30,517,251021,0.00461732,0.06497,3.86365e+06,2135
2010-08-31,733,232371,0.00570193,0.06,3.87285e+06,933.229
2010-09-01,622,240700,0.00486523,0.0620248,3.8807e+06,436.73
2010-09-02,513,246531,0.00483424,0.0634,3.8885e+06,498.977
2010-09-03,503,237114,0.00508215,0.06085,3.8967e+06,54.6103
2010-09-04,468,242853,0.00560896,0.0621783,3.90575e+06,202.266
2010-09-05,534,241298,0.00511314,0.06165,3.914e+06,527.969
2010-09-06,518,241589,0.00489622,0.0616,3.9219e+06,56.128
2010-09-07,408,240664,0.0049582,0.0612391,3.9299e+06,212.352
