,btc_12m,ffr_chg_12m,ffr
2013-01-31,2.7037,0.0000,0.2500
2013-02-28,5.8494,0.0000,0.2500
2013-03-31,18.2031,0.0000,0.2500
2013-04-30,27.1520,0.0000,0.2500
2013-05-31,23.6673,0.0000,0.2500
2013-06-30,12.3945,0.0000,0.2500
2013-07-31,9.5165,0.0000,0.2500
2013-08-31,11.7077,0.0000,0.2500
2013-09-30,9.1754,0.0000,0.2500
2013-10-31,17.2381,0.0000,0.2500
2013-11-30,87.9314,0.0000,0.2500
2013-12-31,52.8594,0.0000,0.2500
2014-01-31,38.1602,0.0000,0.2500
2014-02-28,15.5181,0.0000,0.2500
2014-03-31,3.8494,0.0000,0.2500
2014-04-30,2.2263,0.0000,0.2500
2014-05-31,3.9125,0.0000,0.2500
2014-06-30,6.1406,0.0000,0.2500
2014-07-31,4.9371,0.0000,0.2500
2014-08-31,2.7274,0.0000,0.2500
2014-09-30,2.0872,0.0000,0.2500
2014-10-31,0.6587,0.0000,0.2500
2014-11-30,-0.6617,0.0000,0.2500
2014-12-31,-0.5605,0.0000,0.2500
2015-01-31,-0.7294,0.0000,0.2500
2015-02-28,-0.5375,0.0000,0.2500
2015-03-31,-0.4626,0.0000,0.2500
2015-04-30,-0.4735,0.0000,0.2500
2015-05-31,-0.6346,0.0000,0.2500
2015-06-30,-0.5870,0.0000,0.2500
2015-07-31,-0.5110,0.0000,0.2500
2015-08-31,-0.5179,0.0000,0.2500
2015-09-30,-0.3918,0.0000,0.2500
2015-10-31,-0.0684,0.0000,0.2500
2015-11-30,-0.0034,0.0000,0.2500
2015-12-31,0.3400,0.2500,0.5000
2016-01-31,0.6856,0.2500,0.5000
2016-02-29,0.7171,0.2500,0.5000
2016-03-31,0.6998,0.2500,0.5000
2016-04-30,0.9037,0.2500,0.5000
2016-05-31,1.3140,0.2500,0.5000
2016-06-30,1.5555,0.2500,0.5000
2016-07-31,1.1954,0.2500,0.5000
2016-08-31,1.4807,0.2500,0.5000
2016-09-30,1.5719,0.2500,0.5000
2016-10-31,1.2249,0.2500,0.5000
2016-11-30,0.9667,0.2500,0.5000
2016-12-31,1.2551,0.2500,0.7500
2017-01-31,1.6437,0.2500,0.7500
2017-02-28,1.7146,0.2500,0.7500
2017-03-31,1.6006,0.5000,1.0000
2017-04-30,2.0717,0.5000,1.0000
2017-05-31,3.3308,0.5000,1.0000
2017-06-30,2.6375,0.7500,1.2500
2017-07-31,3.5816,0.7500,1.2500
2017-08-31,7.2834,0.7500,1.2500
2017-09-30,6.1190,0.7500,1.2500
2017-10-31,8.1981,0.7500,1.2500
2017-11-30,12.4690,0.7500,1.2500
2017-12-31,13.3673,0.7500,1.5000
2018-01-31,9.3770,0.7500,1.5000
2018-02-28,7.6730,0.7500,1.5000
2018-03-31,5.3992,0.7500,1.7500
2018-04-30,5.6780,0.7500,1.7500
2018-05-31,2.2524,0.7500,1.7500
2018-06-30,1.5994,0.7500,2.0000
2018-07-31,1.6986,0.7500,2.0000
2018-08-31,0.4820,0.7500,2.0000
2018-09-30,0.5237,1.0000,2.2500
2018-10-31,-0.0190,1.0000,2.2500
2018-11-30,-0.6025,1.0000,2.2500
2018-12-31,-0.7351,1.0000,2.5000
2019-01-31,-0.6607,1.0000,2.5000
2019-02-28,-0.6320,1.0000,2.5000
2019-03-31,-0.4085,0.7500,2.5000
2019-04-30,-0.4293,0.7500,2.5000
2019-05-31,0.1441,0.7500,2.5000
2019-06-30,0.7007,0.5000,2.5000
2019-07-31,0.3021,0.2500,2.2500
2019-08-31,0.3672,0.2500,2.2500
2019-09-30,0.2541,-0.2500,2.0000
2019-10-31,0.4518,-0.5000,1.7500
