date,decision,r0,r1,r5,r21
2013-01-30,hold,0.0114,0.0511,0.0474,0.5281
2013-03-20,hold,0.0704,0.1919,0.2490,1.7092
2013-05-01,hold,-0.1654,-0.2357,-0.1941,-0.1448
2013-06-19,hold,0.0012,0.0003,-0.0503,-0.1848
2013-07-31,hold,0.0141,-0.0009,0.0090,0.1463
2013-09-18,hold,0.0001,-0.0214,-0.0318,-0.0076
2013-10-30,hold,-0.0319,-0.0056,0.1192,1.9122
2013-12-18,hold,-0.2293,0.0042,-0.0362,0.2023
2014-01-29,hold,0.0041,0.0118,0.0213,-0.2109
2014-03-19,hold,-0.0062,-0.0451,-0.0477,-0.2791
2014-04-30,hold,0.0026,0.0279,-0.0343,0.1032
2014-06-18,hold,-0.0024,-0.0219,-0.0321,0.0211
2014-07-30,hold,-0.0363,-0.0037,0.0060,-0.1181
2014-09-17,hold,-0.0169,-0.0804,-0.1364,-0.2365
2014-10-29,hold,-0.0594,-0.0283,-0.0826,0.0647
2014-12-17,hold,-0.0253,-0.0460,0.0098,-0.0946
2015-01-28,hold,-0.1096,-0.1163,-0.0932,-0.1086
2015-03-18,hold,-0.0980,-0.0812,-0.0648,-0.1382
2015-04-29,hold,0.0005,0.0478,0.0595,0.0383
2015-06-17,hold,-0.0138,-0.0096,-0.0176,0.0761
2015-07-29,hold,-0.0188,-0.0243,-0.0448,-0.2308
2015-09-17,hold,0.0182,0.0180,0.0069,0.0611
2015-10-28,hold,0.0300,0.0654,0.2336,0.1360
2015-12-16,hike,-0.0225,-0.0180,-0.0581,-0.0730
2016-01-27,hold,0.0089,-0.0313,-0.0509,0.0618
2016-03-16,hold,0.0042,0.0080,-0.0088,0.0160
2016-04-27,hold,-0.0508,-0.0395,-0.0525,-0.0322
2016-06-15,hold,0.0147,0.1204,0.0548,-0.0107
2016-07-27,hold,0.0025,0.0024,-0.0735,-0.1237
2016-09-21,hold,-0.0188,-0.0211,-0.0026,0.0464
2016-11-02,hold,0.0134,-0.0556,-0.0334,0.0146
2016-12-14,hike,-0.0025,-0.0035,0.0146,0.4565
2017-02-01,hold,0.0197,0.0405,0.0566,0.1664
2017-03-15,hike,0.0097,-0.0550,-0.1675,-0.0888
2017-05-03,hold,0.0380,0.0519,0.1512,0.6498
2017-06-14,hike,-0.0973,-0.1098,-0.0434,-0.0366
2017-07-26,hold,-0.0142,0.0416,0.1188,0.7058
2017-09-20,hold,-0.0076,-0.0786,-0.0018,0.2265
2017-11-01,hold,0.0463,0.0957,0.0866,0.2833
2017-12-13,hike,-0.0527,-0.0477,0.0888,-0.1390
2018-01-31,hold,0.0091,-0.0923,-0.3123,0.0501
2018-03-21,hike,-0.0018,-0.0208,-0.0814,-0.2193
2018-05-02,hold,0.0145,0.0748,0.0295,-0.1710
2018-06-13,hike,-0.0337,0.0158,0.0271,0.0081
2018-08-01,hold,-0.0166,-0.0236,-0.1029,-0.1761
2018-09-26,hike,0.0073,0.0407,0.0227,0.0041
2018-11-08,hold,-0.0145,-0.0261,-0.0358,-0.3479
2018-12-19,hike,0.0104,0.1115,0.1040,0.0942
2019-01-30,hold,0.0124,0.0042,0.0046,0.1578
2019-03-20,hold,0.0086,-0.0050,-0.0220,0.3292
2019-05-01,hold,0.0092,0.0240,0.0807,0.4559
2019-06-19,hold,0.0263,0.0552,0.2163,0.3382
2019-07-31,cut,0.0490,0.0846,0.2295,0.0529
2019-09-18,cut,-0.0034,0.0071,-0.0493,-0.1567
2019-10-30,cut,-0.0263,-0.0293,-0.0014,-0.1436
2019-12-11,hold,-0.0044,-0.0054,-0.0484,-0.0085
2020-01-29,hold,0.0016,0.0228,-0.0019,0.0364
2020-03-03,cut,-0.0154,-0.0168,-0.0894,-0.2393
2020-03-15,cut,0.0415,-0.0257,0.2000,0.3198
2020-04-29,hold,0.1277,0.1136,0.1431,0.2247
2020-06-10,hold,0.0111,-0.0513,-0.0346,-0.0550
2020-07-29,hold,0.0156,0.0174,0.0266,0.0724
2020-09-16,hold,0.0175,0.0146,-0.0301,-0.0104
2020-11-05,hold,0.1046,0.1054,0.0842,0.2112
2020-12-16,hold,0.0997,0.1727,0.1804,0.8857
2021-01-27,hold,-0.0699,0.0267,0.0285,0.6000
2021-03-17,hold,0.0386,0.0218,-0.0362,-0.0041
2021-04-28,hold,-0.0044,-0.0265,0.0403,-0.3159
2021-06-16,hold,-0.0494,-0.0555,-0.2121,-0.1571
2021-07-28,hold,0.0208,0.0245,0.0045,0.1490
2021-09-22,hold,0.0753,0.1070,0.0486,0.4151
2021-11-03,hold,-0.0011,-0.0259,0.0717,-0.0933
2021-12-15,hold,0.0111,-0.0130,-0.0277,-0.0986
2022-01-26,hold,-0.0034,0.0019,0.0409,0.1925
2022-03-16,hike,0.0443,0.0409,0.0434,0.1003
2022-05-04,hike,0.0514,-0.0319,-0.1922,-0.2155
2022-06-15,hike,0.0203,-0.0799,-0.0680,-0.0685
2022-07-27,hike,0.0810,0.1254,0.1015,0.1017
2022-09-21,hike,-0.0194,0.0287,0.0174,0.0150
2022-11-02,hike,-0.0164,-0.0140,0.0041,-0.1909
2022-12-14,hike,0.0020,-0.0242,-0.0760,-0.0521
2023-02-01,hike,0.0258,0.0162,-0.0166,0.0447
2023-03-22,hike,-0.0295,0.0076,-0.0361,0.0618
2023-05-03,hike,0.0124,0.0058,-0.0336,-0.0819
2023-06-14,hold,-0.0303,-0.0124,0.0347,0.1784
2023-07-26,hike,0.0048,-0.0007,-0.0001,-0.0160
2023-09-20,hold,-0.0030,-0.0236,-0.0340,-0.0142
2023-11-01,hold,0.0230,0.0071,0.0110,0.0799
