date,2012,2016,2020,2024
0,1.00000,1.00000,1.00000,1.00000
1,1.01346,0.99696,1.02626,1.00093
2,1.02063,0.99744,1.08512,1.03138
3,1.02114,1.02773,1.14079,1.02276
4,1.01348,1.00980,1.08557,0.98894
5,1.02638,1.01375,1.09356,0.99395
6,1.08417,1.02273,1.12697,0.98258
7,1.07956,1.02045,1.13213,0.97722
8,1.09295,1.04471,1.13531,0.97027
9,1.09290,1.03555,1.10755,0.98460
10,1.09474,1.03485,1.05554,0.93419
11,1.08229,1.02356,1.06636,0.89576
12,1.09412,1.02287,1.06891,0.91160
13,1.10410,0.99788,1.02498,0.97035
14,1.10838,1.00834,1.03696,0.98418
15,1.11544,1.01450,1.02834,0.98705
16,1.10292,1.00487,1.06721,0.97412
17,1.09725,1.00412,1.11367,0.96131
18,1.08119,1.00665,1.09786,0.94101
19,1.08015,1.00653,1.12803,0.97058
20,1.07625,1.00861,1.09804,0.93820
21,1.09786,1.00525,1.18709,0.93738
22,1.10042,0.95837,1.10716,0.94644
23,1.08898,0.93031,1.12228,0.96886
24,1.08884,0.80832,1.14220,0.94835
25,1.07999,0.87484,1.12224,1.02116
26,1.08880,0.89508,1.12536,1.00557
27,1.08384,0.89161,1.13454,1.03156
28,1.09107,0.90621,1.13707,1.03189
29,1.08657,0.91225,1.13825,1.02082
30,1.09113,0.90749,1.15094,1.09697
31,1.08452,0.90182,1.07982,1.08180
32,1.09028,0.90494,1.10062,1.06420
33,1.09844,0.90435,1.10122,1.04392
34,1.08107,0.90068,1.08745,1.05702
35,1.07695,0.89788,1.09890,1.06740
36,1.08534,0.87644,1.10806,1.05449
37,1.09082,0.86904,1.09975,1.06840
38,1.09145,0.88722,1.09292,1.05292
39,1.09510,0.87993,1.08082,1.04123
40,1.09929,0.87932,1.08911,1.05342
41,1.11748,0.88038,1.08067,1.03805
42,1.12077,0.89241,1.12721,1.04324
43,1.14528,0.89086,1.11873,1.04464
44,1.15374,0.89728,1.08162,1.06047
45,1.15266,0.89368,1.07629,1.08699
46,1.14833,0.88766,1.06609,1.09520
47,1.16107,0.88356,1.04778,1.09060
48,1.16072,0.88792,1.06011,1.06825
49,1.19268,0.87462,1.06897,1.06782
50,1.26492,0.88214,1.06429,1.07296
51,1.27442,0.87957,1.07562,1.07022
52,1.26407,0.88305,1.05851,1.03790
53,1.27473,0.87780,1.05529,1.05093
54,1.36080,0.87772,1.06222,1.02889
55,1.40290,0.88481,1.05679,1.01655
56,1.42206,0.92090,1.08698,1.01998
57,1.37054,0.93649,1.07688,1.02642
58,1.41158,0.93187,1.09811,1.02428
59,1.42345,0.94026,1.07447,1.00314
60,1.44867,0.94435,1.08073,0.99955
61,1.52406,0.96719,1.07513,0.99984
62,1.58248,0.95557,1.08118,0.98734
63,1.60054,0.95830,1.07507,0.98999
64,1.66332,0.93298,1.07783,0.97592
