month,n,mean,median,hit_rate,geo_mean,std,t_logret,p_t,p_wilcoxon,mean_ci_lo,mean_ci_hi,median_ci_lo,median_ci_hi,best,worst
Jan,16,0.0874,0.0519,0.5625,0.0527,0.2917,0.7866,0.4438,0.3755,-0.0440,0.2297,-0.1007,0.2048,0.7503,-0.3222
Feb,16,0.1306,0.1174,0.6875,0.0985,0.2804,1.5139,0.1508,0.1046,-0.0009,0.2677,-0.0828,0.2705,0.6382,-0.3137
Mar,16,0.1010,-0.0088,0.5000,0.0399,0.4846,0.4969,0.6264,1.0000,-0.0730,0.3645,-0.0879,0.0894,1.8134,-0.3284
Apr,16,0.3238,0.1001,0.6875,0.1999,0.8570,1.8805,0.0796,0.0443,0.0472,0.7796,-0.0142,0.2863,3.4609,-0.1723
May,16,0.1752,0.0694,0.5625,0.1130,0.4466,1.3125,0.2091,0.2312,-0.0112,0.4069,-0.0730,0.2550,1.4919,-0.3538
Jun,16,0.0535,0.0205,0.5625,0.0188,0.2914,0.2814,0.7823,0.7057,-0.0746,0.1990,-0.0891,0.1669,0.8558,-0.3926
Jul,16,0.0826,0.0799,0.6875,0.0729,0.1497,2.0270,0.0608,0.0443,0.0129,0.1544,-0.0415,0.1919,0.3953,-0.1738
Aug,16,0.0048,-0.0745,0.3750,-0.0202,0.2439,-0.3574,0.7258,0.5966,-0.1024,0.1292,-0.1166,0.0838,0.6560,-0.3869
Sep,15,-0.0372,-0.0294,0.4000,-0.0471,0.1365,-1.2225,0.2417,0.3028,-0.1066,0.0262,-0.0856,0.0394,0.2266,-0.3727
Oct,15,0.1418,0.1123,0.6667,0.1125,0.2604,1.7091,0.1095,0.0554,0.0144,0.2688,-0.0451,0.3269,0.6122,-0.3652
Nov,15,0.3613,0.0888,0.6000,0.1574,1.1739,1.1469,0.2707,0.3028,-0.0294,1.0076,-0.0916,0.3709,4.5061,-0.3699
Dec,15,0.0787,-0.0319,0.4667,0.0499,0.2618,0.7826,0.4469,0.4543,-0.0451,0.2077,-0.0515,0.1385,0.5894,-0.3482
