cycle_year,month,mean,median,n,hit
0.0000,Jan,0.0854,0.0918,4,0.7500
0.0000,Feb,0.1084,0.0561,4,0.5000
0.0000,Mar,-0.0342,-0.0232,4,0.5000
0.0000,Apr,0.0722,0.0461,4,0.7500
0.0000,May,0.1075,0.1008,4,1.0000
0.0000,Jun,0.1150,0.1196,4,0.5000
0.0000,Jul,0.1481,0.1353,4,0.7500
0.0000,Aug,-0.0147,-0.0270,4,0.5000
0.0000,Sep,0.0715,0.0684,4,0.7500
0.0000,Oct,0.1104,0.1301,4,0.7500
0.0000,Nov,0.2466,0.2500,4,1.0000
0.0000,Dec,0.2065,0.1909,4,0.7500
1.0000,Jan,0.1878,0.1187,4,0.7500
1.0000,Feb,0.2615,0.2975,4,0.7500
1.0000,Mar,0.4997,0.1375,4,0.5000
1.0000,Apr,0.2210,0.2102,4,0.7500
1.0000,May,0.0850,0.0149,4,0.5000
1.0000,Jun,-0.0675,-0.0184,4,0.5000
1.0000,Jul,0.1339,0.1313,4,1.0000
1.0000,Aug,0.2576,0.2197,4,0.7500
1.0000,Sep,-0.0310,-0.0453,4,0.2500
1.0000,Oct,0.3649,0.4431,4,0.7500
1.0000,Nov,1.2044,0.2422,4,0.5000
1.0000,Dec,-0.0445,-0.1111,4,0.2500
2.0000,Jan,-0.1120,-0.1355,4,0.2500
2.0000,Feb,-0.0786,-0.0618,4,0.5000
2.0000,Mar,-0.1071,-0.0777,4,0.5000
2.0000,Apr,0.0663,0.0521,4,0.5000
2.0000,May,0.0049,-0.0949,4,0.2500
2.0000,Jun,-0.1817,-0.1760,4,0.2500
2.0000,Jul,0.1007,0.1402,4,0.7500
2.0000,Aug,-0.0402,-0.1166,4,0.2500
2.0000,Sep,-0.0919,-0.0599,3,0.0000
2.0000,Oct,-0.0415,-0.0451,3,0.3333
2.0000,Nov,-0.1362,-0.1617,3,0.3333
2.0000,Dec,-0.0877,-0.0720,3,0.0000
3.0000,Jan,0.0008,-0.0751,3,0.3333
3.0000,Feb,0.0953,0.1123,3,1.0000
3.0000,Mar,0.0904,0.0795,3,0.6667
3.0000,Apr,0.0939,0.0297,3,0.6667
3.0000,May,0.1742,-0.0291,3,0.3333
3.0000,Jun,0.1791,0.1499,3,1.0000
3.0000,Jul,-0.0117,-0.0415,3,0.3333
3.0000,Aug,-0.1154,-0.1117,3,0.0000
3.0000,Sep,-0.0240,0.0262,3,0.6667
3.0000,Oct,0.2387,0.2839,3,1.0000
3.0000,Nov,0.0385,0.0888,3,0.6667
3.0000,Dec,0.0688,0.1194,3,0.6667
