year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,0.7503,0.6382,-0.0879,3.4609,1.4919,0.8558,-0.1738,-0.3869,-0.3727,-0.3652,-0.0916,0.5894
2012,0.1748,-0.1202,0.0035,0.0107,0.0485,0.2893,0.3953,0.0838,0.2266,-0.1005,0.1292,0.0762
2013,0.5143,0.6271,1.8134,0.4817,-0.0813,-0.2999,0.0955,0.3097,-0.0178,0.6122,4.5061,-0.3482
2014,0.1010,-0.3137,-0.1740,-0.0142,0.3988,0.0176,-0.0892,-0.1778,-0.1865,-0.1338,0.1231,-0.1532
2015,-0.3222,0.1731,-0.0401,-0.0343,-0.0291,0.1499,0.0786,-0.1894,0.0262,0.3269,0.2014,0.1385
2016,-0.1474,0.1950,-0.0498,0.0816,0.1801,0.2700,-0.0734,-0.0841,0.0639,0.1479,0.0620,0.3055
2017,-0.0005,0.2271,-0.0898,0.2775,0.6639,0.0667,0.1671,0.6560,-0.0856,0.4831,0.5551,0.3926
2018,-0.2781,0.0256,-0.3284,0.3332,-0.1896,-0.1475,0.2117,-0.0906,-0.0599,-0.0451,-0.3699,-0.0720
2019,-0.0751,0.1123,0.0795,0.2863,0.6246,0.2672,-0.0723,-0.0451,-0.1377,0.1054,-0.1747,-0.0515
2020,0.3055,-0.0828,-0.2505,0.3451,0.0903,-0.0307,0.2400,0.0300,-0.0776,0.2817,0.4242,0.4759
2021,0.1425,0.3680,0.2961,-0.0179,-0.3538,-0.0602,0.1919,0.1298,-0.0728,0.4032,-0.0706,-0.1881
2022,-0.1703,0.1226,0.0552,-0.1723,-0.1560,-0.3926,0.2081,-0.1426,-0.0294,0.0543,-0.1617,-0.0380
2023,0.3998,0.0007,0.2320,0.0297,-0.0730,0.1200,-0.0415,-0.1117,0.0394,0.2839,0.0888,0.1194
2024,0.0088,0.4415,0.1602,-0.1487,0.1112,-0.0685,0.0307,-0.0886,0.0729,0.1123,0.3709,-0.0319
2025,0.0950,-0.1762,-0.0212,0.1428,0.1111,0.0233,0.0811,-0.0650,0.0522,-0.0388,-0.1729,-0.0341
2026,-0.1007,-0.1491,0.0187,0.1185,-0.0337,-0.2044,0.0724,0.2501,-0.0374,,,
