date,2013,2017,2021,2025
0,1.00000,1.00000,1.00000,1.00000
1,0.90526,0.98014,0.99339,0.97408
2,0.72655,0.96647,0.95876,0.98851
3,0.62008,0.89882,0.96182,0.97420
4,0.69042,0.83774,0.94873,0.91132
5,0.78955,0.79600,0.95345,0.88877
6,0.86099,0.72838,0.96284,0.92252
7,0.77138,0.75919,0.94391,0.92396
8,0.76950,0.71415,0.89311,0.90789
9,0.77463,0.71693,0.89062,0.88815
10,0.75146,0.80075,0.84087,0.86630
11,0.76134,0.78353,0.85894,0.85421
12,0.59730,0.72755,0.88463,0.85836
13,0.60147,0.74192,0.87402,0.87088
14,0.46357,0.65929,0.83480,0.88637
15,0.60402,0.70882,0.85343,0.87083
16,0.52886,0.68556,0.84602,0.86256
17,0.52605,0.75122,0.87366,0.88173
18,0.54190,0.76425,0.79655,0.88945
19,0.57971,0.76731,0.80892,0.89418
20,0.57331,0.86542,0.84760,0.91775
21,0.59765,0.87083,0.85755,0.91399
22,0.66083,0.82644,0.84536,0.90512
23,0.63667,0.76054,0.84660,0.88289
24,0.63075,0.73209,0.83775,0.86538
25,0.64081,0.74688,0.79464,0.87767
26,0.64827,0.67141,0.72784,0.88128
27,0.64282,0.70209,0.73032,0.88436
28,0.66295,0.72458,0.74821,0.85317
29,0.69163,0.69658,0.74879,0.81194
30,0.71125,0.69202,0.74770,0.83250
31,0.73009,0.58201,0.70975,0.81108
32,0.79519,0.56819,0.70234,0.82859
33,0.80574,0.57259,0.73024,0.81983
34,0.70784,0.58249,0.74230,0.83867
35,0.72312,0.65011,0.69269,0.84985
36,0.73250,0.58157,0.71500,0.82495
37,0.75185,0.54670,0.72297,0.81460
38,0.78380,0.55240,0.70569,0.80141
39,0.74471,0.57157,0.68601,0.75709
40,0.72505,0.56671,0.69446,0.76541
41,0.71837,0.56188,0.69404,0.75452
42,0.74109,0.57641,0.69520,0.73633
43,0.71886,0.59143,0.72669,0.74374
44,0.69857,0.56682,0.72092,0.73159
45,0.71351,0.50709,0.75084,0.69627
46,0.73875,0.51170,0.75189,0.68054
47,0.73034,0.46027,0.74903,0.67916
48,0.72588,0.44735,0.75210,0.69596
49,0.72161,0.46496,0.75207,0.70802
50,0.71451,0.42008,0.70583,0.70046
51,0.68819,0.34875,0.68802,0.72461
52,0.70877,0.39401,0.69738,0.73172
53,0.71766,0.38821,0.68632,0.72895
54,0.65440,0.41845,0.70416,0.72776
55,0.69623,0.44095,0.70109,0.72588
56,0.69906,0.43432,0.68777,0.69301
57,0.70443,0.41225,0.67967,0.73326
58,0.70774,0.45354,0.64450,0.74993
59,0.71654,0.43400,0.63879,0.73868
60,0.71766,0.48203,0.61462,0.71525
61,0.71105,0.51458,0.61887,0.71436
62,0.70496,0.51879,0.62016,0.72156
63,0.69121,0.56443,0.61913,0.72641
64,0.67279,0.53217,0.63321,0.74352
65,0.62697,0.56716,0.65087,0.73786
66,0.59711,0.57259,0.63112,0.74203
67,0.60568,0.53252,0.63816,0.72367
68,0.60396,0.50295,0.63970,0.72298
69,0.59202,0.51725,0.63914,0.70576
70,0.57604,0.49320,0.62497,0.69179
