period_months,power
6.00000,0.00453
7.00000,0.00252
8.00000,0.00476
9.00000,0.00099
10.00000,0.00265
11.00000,0.00775
12.00000,0.00044
13.00000,0.00221
14.00000,0.01020
15.00000,0.00734
16.00000,0.00145
17.00000,0.00200
18.00000,0.01391
19.00000,0.00795
20.00000,0.00033
21.00000,0.00251
22.00000,0.03154
23.00000,0.04575
24.00000,0.01919
25.00000,0.00198
26.00000,0.00546
27.00000,0.00700
28.00000,0.00341
29.00000,0.00041
30.00000,0.00095
31.00000,0.00720
32.00000,0.01789
33.00000,0.02652
34.00000,0.02542
35.00000,0.01509
36.00000,0.00564
37.00000,0.00914
38.00000,0.03266
39.00000,0.07546
40.00000,0.12939
41.00000,0.18262
42.00000,0.22484
43.00000,0.24994
44.00000,0.25584
45.00000,0.24419
46.00000,0.22017
47.00000,0.19120
48.00000,0.16462
49.00000,0.14556
50.00000,0.13580
51.00000,0.13403
52.00000,0.13712
53.00000,0.14159
54.00000,0.14480
55.00000,0.14533
56.00000,0.14278
57.00000,0.13740
58.00000,0.12972
59.00000,0.12025
60.00000,0.10950
61.00000,0.09795
62.00000,0.08614
63.00000,0.07470
64.00000,0.06433
65.00000,0.05574
66.00000,0.04956
67.00000,0.04625
68.00000,0.04603
69.00000,0.04883
70.00000,0.05434
71.00000,0.06206
72.00000,0.07135
73.00000,0.08152
74.00000,0.09193
75.00000,0.10199
76.00000,0.11123
77.00000,0.11929
78.00000,0.12593
79.00000,0.13098
80.00000,0.13439
81.00000,0.13616
82.00000,0.13635
83.00000,0.13506
84.00000,0.13240
85.00000,0.12852
86.00000,0.12355
87.00000,0.11764
88.00000,0.11093
89.00000,0.10358
90.00000,0.09571
91.00000,0.08747
92.00000,0.07898
93.00000,0.07038
94.00000,0.06178
95.00000,0.05333
96.00000,0.04514
