year,asof,price,above_200dma,pct_vs_200dma,trailing_12m,drawdown_from_ath,ytd,cycle_year,oct,nov,q4
2013,2013-09-30,126.0900,True,0.1753,9.1754,-0.4534,8.3086,1,0.6122,4.5061,4.7860
2014,2014-09-30,389.2640,False,-0.2664,2.0872,-0.6570,-0.4664,2,-0.1338,0.1231,-0.1762
2015,2015-09-30,236.7400,False,-0.0431,-0.3918,-0.7914,-0.2617,3,0.3269,0.2014,0.8150
2016,2016-09-30,608.8660,True,0.1025,1.5719,-0.4635,0.4170,0,0.1479,0.0620,0.5914
2017,2017-09-30,4334.5400,True,0.6919,6.1190,-0.1187,3.4733,1,0.4831,0.5551,2.2118
2018,2018-09-30,6604.4900,False,-0.1005,0.5237,-0.6637,-0.5256,2,-0.0451,-0.3699,-0.4417
2019,2019-09-30,8282.3700,False,-0.0163,0.2541,-0.5783,1.2462,3,0.1054,-0.1747,-0.1346
2020,2020-09-30,10772.4000,True,0.1521,0.3006,-0.4515,0.5030,0,0.2817,0.4242,1.6942
2021,2021-09-30,43781.5000,False,-0.0324,3.0642,-0.3099,0.5085,1,0.4032,-0.0706,0.0588
2022,2022-09-30,19435.2000,False,-0.3122,-0.5561,-0.7122,-0.5807,2,0.0543,-0.1617,-0.1498
2023,2023-09-30,26977.7000,False,-0.0368,0.3881,-0.6006,0.6326,3,0.2839,0.0888,0.5649
2024,2024-09-30,63260.0000,False,-0.0074,1.3449,-0.1344,0.4984,0,0.1123,0.3709,0.4763
2025,2025-09-30,113972.0000,True,0.0881,0.8016,-0.0767,0.2204,1,-0.0388,-0.1729,-0.2321
2026,2026-09-15,75686.0000,True,0.0768,-0.3443,-0.3937,-0.1352,2,,,
