,OctNov,Q4,Q1,Q2,Q3,FullYear
2011,-0.4234,-0.0835,1.6153,19.6287,-0.6822,14.7143
2012,0.0157,0.0931,0.0372,0.3662,0.8549,1.8733
2013,7.8770,4.7860,5.9321,-0.0471,0.4091,52.8594
2014,-0.0272,-0.1762,-0.3758,0.4032,-0.3908,-0.5605
2015,0.5941,0.8150,-0.2369,0.0782,-0.1028,0.3400
2016,0.2190,0.5914,-0.0319,0.6210,-0.0970,1.2551
2017,1.3063,2.2118,0.1164,1.2674,0.7672,13.3673
2018,-0.3984,-0.4417,-0.5028,-0.0790,0.0359,-0.7351
2019,-0.0877,-0.1346,0.1104,1.6482,-0.2361,0.9439
2020,0.8254,1.6942,-0.1026,0.4216,0.1781,3.0493
2021,0.3041,0.0588,1.0257,-0.4036,0.2486,0.5972
2022,-0.1162,-0.1498,-0.0171,-0.5757,0.0053,-0.6435
2023,0.3979,0.5649,0.7256,0.0691,-0.1150,1.5549
2024,0.5249,0.4763,0.6872,-0.1188,0.0079,1.2121
2025,-0.2050,-0.2321,-0.1170,0.2994,0.0636,-0.0629
2026,,,-0.2206,-0.1402,0.2904,
